scenario,trial,month,monthly_pl_kc
konzervativni,42,2,-800.0
konzervativni,42,3,-800.0
konzervativni,42,4,-657.06
konzervativni,42,5,-430.87
konzervativni,42,6,-374.94
konzervativni,42,7,-743.88
konzervativni,42,8,-542.09
konzervativni,42,9,-747.77
konzervativni,42,10,-611.53
konzervativni,42,11,-581.84
konzervativni,42,12,-768.89
konzervativni,43,1,-800.0
konzervativni,43,2,-800.0
konzervativni,43,3,-498.06
konzervativni,43,4,-799.29
konzervativni,43,5,-489.76
konzervativni,43,6,-394.47
konzervativni,43,7,-424.68
konzervativni,43,8,-585.22
konzervativni,43,9,-360.34
konzervativni,43,10,-720.37
konzervativni,43,11,-728.16
konzervativni,43,12,-339.13
konzervativni,44,1,-866.86
konzervativni,44,2,-763.87
konzervativni,44,3,-663.4
konzervativni,44,4,-751.71
konzervativni,44,5,-749.44
konzervativni,44,6,-504.69
konzervativni,44,7,-514.67
konzervativni,44,8,-702.09
konzervativni,44,9,-166.28
konzervativni,44,10,-471.78
konzervativni,44,11,-616.02
konzervativni,44,12,-654.98
konzervativni,45,1,-800.0
konzervativni,45,2,-789.23
konzervativni,45,3,-580.77
konzervativni,45,4,-626.59
konzervativni,45,5,-159.44
konzervativni,45,6,-152.44
konzervativni,45,7,-644.97
konzervativni,45,8,-583.26
konzervativni,45,9,-700.03
konzervativni,45,10,-181.55
konzervativni,45,11,-800.0
konzervativni,45,12,-403.53
konzervativni,46,1,-707.86
konzervativni,46,2,-800.0
konzervativni,46,3,-496.59
konzervativni,46,4,-397.36
konzervativni,46,5,-772.96
konzervativni,46,6,-652.81
konzervativni,46,7,-598.33
konzervativni,46,8,-461.39
konzervativni,46,9,-447.83
konzervativni,46,10,-575.15
konzervativni,46,11,-376.96
konzervativni,46,12,-525.4
konzervativni,47,1,-768.9
konzervativni,47,2,-701.26
konzervativni,47,3,-706.08
konzervativni,47,4,-753.57
konzervativni,47,5,-693.49
konzervativni,47,6,-496.87
konzervativni,47,7,-652.82
konzervativni,47,8,-455.74
konzervativni,47,9,-562.31
konzervativni,47,10,-481.85
konzervativni,47,11,-475.75
konzervativni,47,12,-381.38
konzervativni,48,1,-800.0
konzervativni,48,2,-446.1
konzervativni,48,3,-576.64
konzervativni,48,4,-565.36
konzervativni,48,5,-829.27
konzervativni,48,6,-335.45
konzervativni,48,7,-600.46
konzervativni,48,8,-618.85
konzervativni,48,9,-52.3
konzervativni,48,10,-258.41
konzervativni,48,11,-701.12
konzervativni,48,12,-207.12
konzervativni,49,1,-800.0
